Vertical,Sub Vertical,Capability Name,Process,Sub Process,Data Entity,Data Element
Financial Services,Wealth Management,Client Opportunity Identification,Wealth Client Prospecting,Life Event Detection ,Client activity,"Transaction Analytics
Digital app activity
Savings Behaviour"
Financial Services,Wealth Management,Client Opportunity Identification,Wealth Client Prospecting,Recommendations,Base profile,"Customer profile
Financial Profile
Predicted event"
Financial Services,Wealth Management,Client Opportunity Identification,Wealth Client Prospecting,Risk Appetite,Client Suitability,"Risk profile
KYC status
Regulatory eligibility"
Financial Services,Wealth Management,Client Opportunity Identification,Wealth Client Prospecting,Advisor Insights,Client  Needs Profile,"Event prediction
Key financial gaps
Risk assessment results"
Financial Services,Wealth Management,Client Opportunity Identification,Wealth Client Prospecting,Client Sentiment,Advisor-Client Interaction Log,"Advisor notes
Call transcripts
Emails"
Financial Services,Wealth Management,Client Opportunity Identification,Wealth Client Prospecting,Workflow Orchestration,Advisor engagement,"CRM tasks
Advisor notifications
Confirmed intent
Client outreach workflows"
Financial Services,Wealth Management,Client Opportunity Identification,Wealth Client Prospecting,Governance Engine,Governance insight,"Audit logs
Recommendations
Predictions"
